index_name,tradedate,open,high,low,close
NSE500,2015-08-21,6955.9,6973.9,6889.0,6961.0
N500MOM 50,2015-08-21,10841.5,10841.5,10701.5,10701.5
N500Q 50,2015-08-21,6153.46,6153.46,6143.91,6143.91
N500VALUE 50,2015-08-21,3657.42,3657.42,3626.98,3626.98
NSE500,2015-08-24,6753.45,6753.45,6468.05,6493.85
N500LOWVOL 50,2015-08-24,5996.51,5996.51,5632.81,5632.81
N500Q 50,2015-08-24,6143.91,6143.91,5765.02,5765.02
N500MOM 50,2015-08-24,10701.5,10701.5,9693.19,9693.19
N500VALUE 50,2015-08-24,3626.98,3626.98,3227.99,3227.99
N500VALUE 50,2015-08-25,3227.99,3314.45,3227.99,3314.45
N500LOWVOL 50,2015-08-25,5632.81,5671.52,5632.81,5671.52
N500Q 50,2015-08-25,5765.02,5833.61,5765.02,5833.61
NSE500,2015-08-25,6567.55,6601.3,6352.9,6569.85
N500MOM 50,2015-08-25,9693.19,9848.87,9693.19,9848.87
N500Q 50,2015-08-26,5833.61,5833.61,5816.19,5816.19
NSE500,2015-08-26,6560.15,6621.3,6487.0,6513.35
N500LOWVOL 50,2015-08-26,5671.52,5671.52,5621.24,5621.24
N500VALUE 50,2015-08-26,3314.45,3314.45,3285.31,3285.31
N500MOM 50,2015-08-26,9848.87,9863.98,9848.87,9863.98
N500Q 50,2015-08-27,5816.19,5917.12,5816.19,5917.12
N500VALUE 50,2015-08-27,3285.31,3401.95,3285.31,3401.95
N500LOWVOL 50,2015-08-27,5621.24,5724.88,5621.24,5724.88
NSE500,2015-08-27,6622.45,6667.05,6583.1,6657.25
N500MOM 50,2015-08-27,9863.98,10125.4,9863.98,10125.4
N500VALUE 50,2015-08-28,3401.95,3401.95,3399.02,3399.02
NSE500,2015-08-28,6738.8,6772.75,6666.65,6694.45
N500Q 50,2015-08-28,5917.12,5937.14,5917.12,5937.14
N500LOWVOL 50,2015-08-28,5724.88,5758.93,5724.88,5758.93
N500MOM 50,2015-08-28,10125.4,10171.8,10125.4,10171.8
N500MOM 50,2015-08-31,10171.8,10171.8,10085.8,10085.8
N500VALUE 50,2015-08-31,3399.02,3418.25,3399.02,3418.25
N500Q 50,2015-08-31,5937.14,5966.52,5937.14,5966.52
N500LOWVOL 50,2015-08-31,5758.93,5758.93,5751.8,5751.8
NSE500,2015-08-31,6700.1,6730.05,6649.65,6669.35
N500LOWVOL 50,2015-09-01,5751.8,5751.8,5649.15,5649.15
N500Q 50,2015-09-01,5966.52,5966.52,5882.42,5882.42
N500MOM 50,2015-09-01,10085.8,10085.8,9824.72,9824.72
N500VALUE 50,2015-09-01,3418.25,3418.25,3290.39,3290.39
NSE500,2015-09-01,6617.0,6642.4,6490.2,6522.25
N500VALUE 50,2015-09-02,3290.39,3290.39,3252.75,3252.75
N500Q 50,2015-09-02,5882.42,5882.42,5867.32,5867.32
N500LOWVOL 50,2015-09-02,5649.15,5649.15,5616.63,5616.63
NSE500,2015-09-02,6577.65,6577.65,6464.5,6475.65
N500MOM 50,2015-09-02,9824.72,9824.72,9790.66,9790.66
N500MOM 50,2015-09-03,9790.66,9898.29,9790.66,9898.29
N500Q 50,2015-09-03,5867.32,5907.98,5867.32,5907.98
